author,Submission_date,slug,country_name,country_code,type_of_target_class,type_of_target_details,temp_target_class,temp_target_details,costs_of_ccm_class,costs_of_ccm_details,renewable_energy_class,renewable_energy_details,energy_efficiency_class,energy_efficiency_details,transport_class,transport_details,carbon_capture_and_storage_class,carbon_capture_and_storage_details,agriculture_class,agriculture_details,land_use_and_forestry_class,land_use_and_forestry_details,waste_class,waste_details,reducing_non_co2_gases_class,reducing_non_co2_gases_details,fossil_fuel_production_class,fossil_fuel_production_details,fossil_fuel_subsidiaries_class,fossil_fuel_subsidiaries_details,land_use_change_class,land_use_change_details,redd_class,redd_details,trade_class,trade_details,market_mechanisms_class,market_mechanisms_details,mitigation_documents_class,mitigation_documents_details,co_benefits_ccm_class,co_benefits_ccm_details
,,,Bahamas,BHS,1,Business as usual,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),1,no (partial) costs mentioned,3,Focus area: increase RE share to 30% by 2030,3,"Focus area (Transport, buildings)",3,Focus area,1,Not indicated,1,Not indicated,2,"Considered: afforestation, sustainable management of forests",1,Not indicated,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),2,Considered: expansion of the use of non-fossil fuel energy sources domestically,3,"Not quantified, no mitigation target",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,National Energy Policy (2013); Forestry Act,1,No co-benefits of mitigation mentioned
,,,Bahrain,BHR,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,"Focus area (Solar power, wind power)",3,Focus area,2,Considered,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,4,Action related to fossil fuel production (Cleaner production; Economic diversification),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,Bahrain’s Economic Vision 2030,1,No co-benefits of mitigation mentioned
,,,Bangladesh,BGD,1,Business as usual,4,NDC claims to be consistent with 2°C limit,6,27 billion US$,3,"Focus area: increase RE share to 5% by 2015, to 10% by 2020 (Solar power, wind power)",3,"Focus area (Buildings, domestic consumption)",3,Focus area,1,Not indicated,2,Considered,2,"Considered: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",4,Action related to fossil fuel production (Continued production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,"Bangladesh Climate Change Strategy and Action Plan (BCCSAP); Renewable Energy Policy 2008, the Energy Efficiency and Conservation Master Plan (E&CC Master Plan)",3,Other co-benefits: no examples given
,,,Barbados,BRB,1,Business as usual,5,NDC claims to be consistent with 1.5°C limit,1,no (partial) costs mentioned,3,"Focus area: increase RE share to 65% by 2030 (Solar power, wind power, biomass, waste-to-energy)",3,"Focus area (Buildings, efficient lighting)",2,Considered,1,Not indicated,2,Considered,2,Considered,3,Focus area,2,"Considered (CH4, N2O, HFCs, SF6)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,4,National Climate Change Policy Framework; Barbados Sustainable Development Policy; National Sustainable Energy Framework; Nationally Appropriate Mitigation Action (NAMA),1,No co-benefits of mitigation mentioned
,,,Belarus,BLR,2,Absolute target: 28% GHG emissions reduction compared to 1990 by 2030,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,3,National Sustainable Development Strategy Until 2030; Concept of Energy Security; Strategy for the Development of Energy Potential; National and Sector-Specific modernization and development programmes; National Programme of Measures to Mitigate Climate Change; United Nations Convention to Combat Desertification,1,No co-benefits of mitigation mentioned
,,,Belize,BLZ,5,Policies and actions,5,NDC claims to be consistent with 1.5°C limit,2,"0,168 billion US$",2,"Considered: increase RE share to 85% by 2030 (hydropower, solar, wind, biomass)",2,Considered,2,Considered: increase national transportation,1,Not indicated,1,Not indicated,2,"Considered: sustainable management of forests, reduce deforestation",2,Considered,2,Considered (CH4),1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",2,REDD+ mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,"Horizon 2010-2030; National Energy Policy Framework; Sustainable Energy Action Plan 2014-2033; Growth and Sustainable Development Strategy 2016-2019; National Climate Change Policy, Strategy and Action Plan 2015-2020; National Solid Waste Management Strategy and Plan",4,"Both adaptation and other co-benefits: coastline protection, reduced water and air pollution, employment creation, energy security, etc."
,,,Benin,BEN,1,Business as usual (Policies and Actions),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,5,"12,13 billion US$",2,"Considered (Solar power, hydropower)",2,Considered,2,Considered,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,2,Market mechanisms explicitly excluded,3,National Program for Climate Change Management,1,No co-benefits of mitigation mentioned
,,,Bhutan,BTN,5,Policies and Actions,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,2,Considered (Hydropower),2,"Considered (transport, buildings, industry)",2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, sustainable management of forests and land",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: technical capacity,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,National Environment Protection Act; National Strategy and Action Plan for Low Carbon Development (2012); Economic Development Policy (2010 and draft 2015); Bhutan Transport 2040: Integrated Strategic Vision; National Forest Policy,1,No co-benefits of mitigation mentioned
,,,Bolivia,BOL,6,Adaptation with mitigation co-benefits,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 79%,2,Considered,1,Not indicated,1,Not indicated,3,Focus area,3,"Focus area: afforestation, sustainable management of forests",1,Not indicated,1,Not indicated,4,Action related to fossil fuel production (Continued production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,2,Market mechanisms explicitly excluded (eradication of market mechanisms),1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Bosnia and Herzegovina,BIH,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,"Considered: increase RE share by 3% every 5 years until 2025, 5% per year thereafter (Solar, wind, hydro)",3,Focus area,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,4,Market mechanisms to meet the conditional contribution only,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Botswana,BWA,2,Absolute target: 15% GHG emissions reduction compared to 2010 by 2030 (conditional),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,5,"18,4 billion US$",3,Focus area,2,Considered,1,Not indicated,1,Not indicated,3,Focus area: livestock sector,1,Not indicated,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Brazil ,BRA,2,"Absolute target: 36% GHG emissions reduction compared to 2005 by 2025, 43% by 2030 (indicative)",4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,3,"Focus area: increase RE share to 45% by 2030 (Solar power, wind power, biomass, hydropower)",3,"Focus area (Industry, buildings)",2,Considered,1,Not indicated,2,Considered: sustainable agriculture development,3,"Focus area: afforestation, reforestation, sustainable management of forests",1,Not indicated,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",2,Producer; no mention of fossil fuel production,2,Considered: expansion of the use of non-fossil fuel energy sources domestically,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: source of finance indicated,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,National Policy on Climate Change,1,No co-benefits of mitigation mentioned
,,,Brunei Darussalam,BRN,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,4,Action related to fossil fuel production (Cleaner production),0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Burkina Faso,BFA,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,3,"1,88081193 billion US$",2,"Considered (Solar power, wind power, hydropower)",2,"Considered (industry, residential)",2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, reforestation",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",3,REDD+ specified: source of finance indicated,2,International trade/trade measures mentioned,1,Not mentioned,3,National Sustainable Development Policy; The National Strategy for implementing the Climate Change Convention,1,No co-benefits of mitigation mentioned
,,,Burundi ,BDI,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"1,450618 billion US$",2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered: livestock sector and agriculture soils,2,"Considered: reforestation, sustainable management of forests",1,Not indicated,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; technical capacity,1,International trade/trade measures not mentioned,1,Not mentioned,3,"National Climate Change Policy (2013), National Strategy and Action Plan on Climate Change (2013)",1,No co-benefits of mitigation mentioned
,,,Cabo Verde,CPV,5,Policies and Actions,5,NDC claims to be consistent with 1.5°C limit,2,"0,8 billion US$",3,"Focus area: increase RE share to 30% by 2025, 100% with international support",3,"Focus area (buildings, domestic consumption, efficient lighting, transport)",2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (standards and labelling),5,Market mechanisms to meet part of NDC target,4,NAMA for renewable energy and energy efficiency; National Renewable Energy Plan; National Energy Efficiency Plan,1,No co-benefits of mitigation mentioned
,,,Cambodia,KHM,1,Business as usual,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,3,"Focus area (Solar power, hydropower, biomass, biogas)",3,Focus area,3,Focus area,1,Not indicated,1,Not indicated,3,"Focus area: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; technical capacity; source of finance; land tenure or forest governance addressed; safeguards,3,International trade/trade measures to foster mitigation (regulating timber trade),3,Use/intention to use market mechanisms,3,National REDD+ Strategy;  Climate Change Strategic Plan 2014 – 2023 (CCCSP),1,No co-benefits of mitigation mentioned
,,,Cameroon,CMR,2,Absolute target: 32% GHG emissions reduction compared to 2010 by 2035 (conditional),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,6,"39,171333 billion US$",2,Considered: increase RE share to 25% by 2035,2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,Considered,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; land tenure or forest governance addressed,1,International trade/trade measures not mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Canada,CAN,2,Absolute target: 30% GHG emissions reduction compared to 2005 by 2030,3,Mentioning global effort to limit global temperature increase to 1.5°C,6,"24,3 billion $ (and an additional $21.9 billion for both mitigation and adaptation",2,Considered,3,Focus area,3,"Focus area: light- and heavy-duty vehicles, rail, aviation, marine, and off-road sectors",1,Not indicated,1,Not indicated,3,Focus area,1,Not indicated,2,"Considered (CH4, N2O, SF6, HFCs, PFCs, SF6, NF3; as well as black carbon)",4,Action related to fossil fuel production (Cleaner production),2,Considered: phase-out of traditional coal units by 2030 and performance standards for natural gas-fired electricity,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,Pan-Canadian Framework on Clean Growth and Climate Change (2016); Mid- Century Long-Term Low-Greenhouse Gas Development Strategy,1,No co-benefits of mitigation mentioned
,,,Central African Republic,CAF,1,Business as usual,4,NDC claims to be consistent with 2°C limit,3,"2,248 billion US$",2,"Considered (Solar power, hydropower)",2,Considered (Efficient lighting),2,Considered,1,Not indicated,2,Considered,2,"Considered: reforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),2,Considered: production of biofuels,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Chad,TCD,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,4,"7,1 billion US$",2,"Considered: increase RE supply from 0 to 750 GWh/year in 15 years (Solar power, wind power, hydropower)",2,Considered (Domestic consumption),1,Not indicated,1,Not indicated,2,Considered: sustainable agriculture management,2,Considered: sustainable management of forests,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation,2,International trade/trade measures mentioned,2,Market mechanisms explicitly excluded,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Chile,CHL,3,Intensity target,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered: 20% non-conventional renewable energies by 2025; and RE share of 45% of new capacity installed in the period 2014-2025,1,Not indicated,2,Considered,1,Not indicated,2,Considered,3,"Focus area: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs)",2,Producer; no mention of fossil fuel production,1,Not indicated,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,4,NAMAs; Tax on CO2 emissions; National Climate Change and Vegetation Resource Strategy,1,No co-benefits of mitigation mentioned
,,,China,CHN,3,Intensity target (Peaking target),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,"Considered: increase share of non fossil fuel in energy consumption to around 20% (RE sources referred to are solar power, wind power, biomass, geothermal - and maritime energy",2,Considered (Buildings),2,Considered,2,Considered,2,Considered: low-carbon agriculture development,2,"Considered: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O, HFCs)",4,Action related to fossil fuel production (Shift to natural gas; CCS for enhanced oil recovery),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,"National Program on Climate Change; Work Plan for Controlling Greenhouse Gas Emissions during the 12th 5-Year Plan Period; Comprehensive Work Plan for Energy Conservation and Emission Reduction for the 12th Five Year Plan Period; 12th 5-Year Plan for Energy Conservation and Emission Reduction; 2014-2015 Action Plan for Energy Conservation, Emission Reduction and Low-Carbon Development; National Plan on Climate Change (2014-2020); Action Plan of Industries Addressing Climate Change (2012-2020)",1,No co-benefits of mitigation mentioned
,,,Colombia,COL,1,Business as usual,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,2,Considered,2,"Considered (industry, residential, commercial)",1,Not indicated,1,Not indicated,2,Considered,3,"Focus area: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",3,Contextualises fossil fuel production (Background information),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; technical capacity,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,Low Carbon Development Strategy; Green Growth strategy (under National development plan); 8 sectoral mitigation plans,1,No co-benefits of mitigation mentioned
,,,Comoros,COM,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,2,"0,375 billion US$",2,"Considered: increase RE share to 43% by 2030 (Solar power, hydropower, geothermal energy)",2,Considered,2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, sustainable management of forests and land",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,"Strategic program framework on the environment, climate change and reducing disaster risk in 2011-2016; Increasing Growth and Sustainable Development Strategy (SCA2D)",1,No co-benefits of mitigation mentioned
,,,Congo,COG,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,"Considered: increase RE share to 70% by 2025, to 80% by 2035",2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, reforestation, sustainable management of forests and land",1,Not indicated,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",4,Action related to fossil fuel production (Cleaner production; Economic diversification),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation,3,International trade/trade measures to foster mitigation (regulating imports of vehicles),1,Not mentioned,3,National Action Plan for the Environment (NEAP); National Strategy of Sustainable Development,1,No co-benefits of mitigation mentioned
,,,Cook Islands,COK,2,Absolute target: 38% GHG emissions reduction from electricity generation compared to 2006 by 2020,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 100% by 2020,2,Considered,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of vehicles),1,Not mentioned,4,"Cook Islands Renewable Electricity Chart, 2011; Nationally Appropriate Mitigation Action (NAMA) (on renewable energy); Customs Tariff Act 2012",1,No co-benefits of mitigation mentioned
,,,Costa Rica,CRI,2,"Absolute target: maximum net emissions limited to 9,374,000 tons CO2eq by 2030.",4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,2,Considered: increase RE share to 100% by 2020,2,"Considered (Industry, residential)",2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, reforestation, sustainable management of forests",1,Not indicated,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,"REDD+ specified: strategies for implementation; institutional infrastructure; technical capacity; source of finance indicated, safeguards mentioned, FPIC mentioned",1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,4,"National Development Plan; National Climate Change Strategy; Emissions Reduction Program; REDD+ Strategy; Biodiversity National Strategy; National Action Plan; NAMA - coffee sector; NAMA - livestock; National Low Carbon Livestock Strategy; Urban Development Plan for the Metropolitan Area; Land Use Planning National Policy; Low-Emission Development Strategy
Carbon Neutral Country Program
Technological Needs Assessment (TNA)
National Energy Plan (VII)",2,Adaptation co-benefit: no examples given
,,,Cote dIvoire,CIV,1,Business as usual (Policies and Actions),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,5,"19,108 billion US$",2,Considered: increase RE share to 43% by 2030,2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; land tenure or forest governance addressed,3,International trade/trade measures to foster mitigation (regulating timber trade),3,Use/intention to use market mechanisms,3,National Climate Change Program (PNCC); National Strategy for Combating Climate Change 2015-2020,1,No co-benefits of mitigation mentioned
